date,ebene1,ebene2,ebene3,bestand,fluss
2018-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1334.6,
2018-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1355.8,
2018-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1398.0,
2019-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1415.2,
2019-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1449.6,
2019-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1466.9,
2019-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1509.1,
2020-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1527.8,
2020-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1586.4,
2020-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1617.9,
2020-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1674.1,
2021-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1708.3,
2021-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1746.0,
2021-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1748.1,
2021-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1764.4,
2022-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1763.5,
2022-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1786.7,
2022-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1807.3,
2022-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1811.7,
2023-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1756.0,
2023-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1737.7,
2023-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1705.0,
2023-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1686.3,
2024-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1652.9,
2024-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1661.2,
2024-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1685.5,
2024-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1740.0,
2000-01-01,Einlagen,Termineinlagen,Termineinlagen,224.4,
2000-04-01,Einlagen,Termineinlagen,Termineinlagen,223.5,
2000-07-01,Einlagen,Termineinlagen,Termineinlagen,227.8,
2000-10-01,Einlagen,Termineinlagen,Termineinlagen,236.3,
2001-01-01,Einlagen,Termineinlagen,Termineinlagen,244.5,
2001-04-01,Einlagen,Termineinlagen,Termineinlagen,247.9,
2001-07-01,Einlagen,Termineinlagen,Termineinlagen,250.9,
2001-10-01,Einlagen,Termineinlagen,Termineinlagen,252.8,
2002-01-01,Einlagen,Termineinlagen,Termineinlagen,249.9,
2002-04-01,Einlagen,Termineinlagen,Termineinlagen,246.1,
2002-07-01,Einlagen,Termineinlagen,Termineinlagen,245.6,
2002-10-01,Einlagen,Termineinlagen,Termineinlagen,248.8,
2003-01-01,Einlagen,Termineinlagen,Termineinlagen,244.6,
2003-04-01,Einlagen,Termineinlagen,Termineinlagen,239.3,
2003-07-01,Einlagen,Termineinlagen,Termineinlagen,235.8,
2003-10-01,Einlagen,Termineinlagen,Termineinlagen,233.4,
2004-01-01,Einlagen,Termineinlagen,Termineinlagen,231.3,
2004-04-01,Einlagen,Termineinlagen,Termineinlagen,226.5,
2004-07-01,Einlagen,Termineinlagen,Termineinlagen,224.8,
2004-10-01,Einlagen,Termineinlagen,Termineinlagen,228.6,
2005-01-01,Einlagen,Termineinlagen,Termineinlagen,226.2,
2005-04-01,Einlagen,Termineinlagen,Termineinlagen,224.0,
2005-07-01,Einlagen,Termineinlagen,Termineinlagen,223.1,
2005-10-01,Einlagen,Termineinlagen,Termineinlagen,230.0,
2006-01-01,Einlagen,Termineinlagen,Termineinlagen,235.3,
2006-04-01,Einlagen,Termineinlagen,Termineinlagen,238.2,
2006-07-01,Einlagen,Termineinlagen,Termineinlagen,248.9,
2006-10-01,Einlagen,Termineinlagen,Termineinlagen,261.8,
2007-01-01,Einlagen,Termineinlagen,Termineinlagen,269.8,
2007-04-01,Einlagen,Termineinlagen,Termineinlagen,276.5,
2007-07-01,Einlagen,Termineinlagen,Termineinlagen,291.9,
2007-10-01,Einlagen,Termineinlagen,Termineinlagen,315.0,
2008-01-01,Einlagen,Termineinlagen,Termineinlagen,329.5,
2008-04-01,Einlagen,Termineinlagen,Termineinlagen,343.5,
2008-07-01,Einlagen,Termineinlagen,Termineinlagen,362.5,
2008-10-01,Einlagen,Termineinlagen,Termineinlagen,389.5,
2009-01-01,Einlagen,Termineinlagen,Termineinlagen,343.4,
2009-04-01,Einlagen,Termineinlagen,Termineinlagen,321.0,
2009-07-01,Einlagen,Termineinlagen,Termineinlagen,292.8,
2009-10-01,Einlagen,Termineinlagen,Termineinlagen,274.1,
2010-01-01,Einlagen,Termineinlagen,Termineinlagen,262.4,
2010-04-01,Einlagen,Termineinlagen,Termineinlagen,258.2,
2010-07-01,Einlagen,Termineinlagen,Termineinlagen,254.4,
2010-10-01,Einlagen,Termineinlagen,Termineinlagen,260.5,
2011-01-01,Einlagen,Termineinlagen,Termineinlagen,260.5,
2011-04-01,Einlagen,Termineinlagen,Termineinlagen,265.6,
2011-07-01,Einlagen,Termineinlagen,Termineinlagen,270.3,
2011-10-01,Einlagen,Termineinlagen,Termineinlagen,279.9,
2012-01-01,Einlagen,Termineinlagen,Termineinlagen,284.0,
2012-04-01,Einlagen,Termineinlagen,Termineinlagen,284.7,
2012-07-01,Einlagen,Termineinlagen,Termineinlagen,281.3,
2012-10-01,Einlagen,Termineinlagen,Termineinlagen,277.1,
2013-01-01,Einlagen,Termineinlagen,Termineinlagen,273.5,
2013-04-01,Einlagen,Termineinlagen,Termineinlagen,271.9,
2013-07-01,Einlagen,Termineinlagen,Termineinlagen,267.6,
2013-10-01,Einlagen,Termineinlagen,Termineinlagen,269.9,
2014-01-01,Einlagen,Termineinlagen,Termineinlagen,275.3,
2014-04-01,Einlagen,Termineinlagen,Termineinlagen,274.6,
2014-07-01,Einlagen,Termineinlagen,Termineinlagen,275.3,
