date,ebene1,ebene2,ebene3,bestand,fluss
2020-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,56.2
2021-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,34.1
2021-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,37.7
2021-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,2.7
2021-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,16.4
2022-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-1.0
2022-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,23.7
2022-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,20.5
2022-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,4.4
2023-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-60.5
2023-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-18.2
2023-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-32.7
2023-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-18.6
2024-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-33.5
2024-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,8.4
2024-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-7.6
2024-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,54.5
2000-01-01,Einlagen,Termineinlagen,Termineinlagen,,-4.2
2000-04-01,Einlagen,Termineinlagen,Termineinlagen,,-0.8
2000-07-01,Einlagen,Termineinlagen,Termineinlagen,,-5.1
2000-10-01,Einlagen,Termineinlagen,Termineinlagen,,17.2
2001-01-01,Einlagen,Termineinlagen,Termineinlagen,,8.0
2001-04-01,Einlagen,Termineinlagen,Termineinlagen,,3.3
2001-07-01,Einlagen,Termineinlagen,Termineinlagen,,3.1
2001-10-01,Einlagen,Termineinlagen,Termineinlagen,,1.8
2002-01-01,Einlagen,Termineinlagen,Termineinlagen,,-2.8
2002-04-01,Einlagen,Termineinlagen,Termineinlagen,,-3.7
2002-07-01,Einlagen,Termineinlagen,Termineinlagen,,-0.5
2002-10-01,Einlagen,Termineinlagen,Termineinlagen,,3.3
2003-01-01,Einlagen,Termineinlagen,Termineinlagen,,-4.2
2003-04-01,Einlagen,Termineinlagen,Termineinlagen,,-5.3
2003-07-01,Einlagen,Termineinlagen,Termineinlagen,,-3.5
2003-10-01,Einlagen,Termineinlagen,Termineinlagen,,-2.4
2004-01-01,Einlagen,Termineinlagen,Termineinlagen,,-2.0
2004-04-01,Einlagen,Termineinlagen,Termineinlagen,,-4.4
2004-07-01,Einlagen,Termineinlagen,Termineinlagen,,-2.2
2004-10-01,Einlagen,Termineinlagen,Termineinlagen,,4.0
2005-01-01,Einlagen,Termineinlagen,Termineinlagen,,-1.7
2005-04-01,Einlagen,Termineinlagen,Termineinlagen,,-2.9
2005-07-01,Einlagen,Termineinlagen,Termineinlagen,,-0.9
2005-10-01,Einlagen,Termineinlagen,Termineinlagen,,6.4
2006-01-01,Einlagen,Termineinlagen,Termineinlagen,,5.3
2006-04-01,Einlagen,Termineinlagen,Termineinlagen,,2.9
2006-07-01,Einlagen,Termineinlagen,Termineinlagen,,10.7
2006-10-01,Einlagen,Termineinlagen,Termineinlagen,,12.3
2007-01-01,Einlagen,Termineinlagen,Termineinlagen,,8.0
2007-04-01,Einlagen,Termineinlagen,Termineinlagen,,6.7
2007-07-01,Einlagen,Termineinlagen,Termineinlagen,,15.3
2007-10-01,Einlagen,Termineinlagen,Termineinlagen,,23.1
2008-01-01,Einlagen,Termineinlagen,Termineinlagen,,14.5
2008-04-01,Einlagen,Termineinlagen,Termineinlagen,,14.0
2008-07-01,Einlagen,Termineinlagen,Termineinlagen,,19.0
2008-10-01,Einlagen,Termineinlagen,Termineinlagen,,27.0
2009-01-01,Einlagen,Termineinlagen,Termineinlagen,,-46.4
2009-04-01,Einlagen,Termineinlagen,Termineinlagen,,-22.2
2009-07-01,Einlagen,Termineinlagen,Termineinlagen,,-28.2
2009-10-01,Einlagen,Termineinlagen,Termineinlagen,,-18.6
2010-01-01,Einlagen,Termineinlagen,Termineinlagen,,-11.6
2010-04-01,Einlagen,Termineinlagen,Termineinlagen,,-4.2
2010-07-01,Einlagen,Termineinlagen,Termineinlagen,,-3.8
2010-10-01,Einlagen,Termineinlagen,Termineinlagen,,6.1
2011-01-01,Einlagen,Termineinlagen,Termineinlagen,,-0.0
2011-04-01,Einlagen,Termineinlagen,Termineinlagen,,5.7
2011-07-01,Einlagen,Termineinlagen,Termineinlagen,,4.6
2011-10-01,Einlagen,Termineinlagen,Termineinlagen,,9.7
2012-01-01,Einlagen,Termineinlagen,Termineinlagen,,4.1
2012-04-01,Einlagen,Termineinlagen,Termineinlagen,,0.8
2012-07-01,Einlagen,Termineinlagen,Termineinlagen,,-3.4
2012-10-01,Einlagen,Termineinlagen,Termineinlagen,,-4.2
2013-01-01,Einlagen,Termineinlagen,Termineinlagen,,-3.4
2013-04-01,Einlagen,Termineinlagen,Termineinlagen,,-1.6
2013-07-01,Einlagen,Termineinlagen,Termineinlagen,,-4.2
2013-10-01,Einlagen,Termineinlagen,Termineinlagen,,2.3
2014-01-01,Einlagen,Termineinlagen,Termineinlagen,,5.5
2014-04-01,Einlagen,Termineinlagen,Termineinlagen,,-0.8
2014-07-01,Einlagen,Termineinlagen,Termineinlagen,,0.7
2014-10-01,Einlagen,Termineinlagen,Termineinlagen,,9.2
2015-01-01,Einlagen,Termineinlagen,Termineinlagen,,-0.5
2015-04-01,Einlagen,Termineinlagen,Termineinlagen,,-2.0
2015-07-01,Einlagen,Termineinlagen,Termineinlagen,,-5.1
2015-10-01,Einlagen,Termineinlagen,Termineinlagen,,1.9
2016-01-01,Einlagen,Termineinlagen,Termineinlagen,,1.0
2016-04-01,Einlagen,Termineinlagen,Termineinlagen,,3.3
2016-07-01,Einlagen,Termineinlagen,Termineinlagen,,-2.0
2016-10-01,Einlagen,Termineinlagen,Termineinlagen,,4.7
2017-01-01,Einlagen,Termineinlagen,Termineinlagen,,1.5
2017-04-01,Einlagen,Termineinlagen,Termineinlagen,,-2.8
2017-07-01,Einlagen,Termineinlagen,Termineinlagen,,-2.6
2017-10-01,Einlagen,Termineinlagen,Termineinlagen,,3.1
2018-01-01,Einlagen,Termineinlagen,Termineinlagen,,0.7
2018-04-01,Einlagen,Termineinlagen,Termineinlagen,,2.8
2018-07-01,Einlagen,Termineinlagen,Termineinlagen,,1.2
2018-10-01,Einlagen,Termineinlagen,Termineinlagen,,2.8
2019-01-01,Einlagen,Termineinlagen,Termineinlagen,,2.9
2019-04-01,Einlagen,Termineinlagen,Termineinlagen,,1.1
2019-07-01,Einlagen,Termineinlagen,Termineinlagen,,0.9
2019-10-01,Einlagen,Termineinlagen,Termineinlagen,,1.0
2020-01-01,Einlagen,Termineinlagen,Termineinlagen,,-2.4
2020-04-01,Einlagen,Termineinlagen,Termineinlagen,,0.6
2020-07-01,Einlagen,Termineinlagen,Termineinlagen,,0.6
2020-10-01,Einlagen,Termineinlagen,Termineinlagen,,2.5
2021-01-01,Einlagen,Termineinlagen,Termineinlagen,,0.1
2021-04-01,Einlagen,Termineinlagen,Termineinlagen,,-1.1
2021-07-01,Einlagen,Termineinlagen,Termineinlagen,,-3.9
2021-10-01,Einlagen,Termineinlagen,Termineinlagen,,-0.2
2022-01-01,Einlagen,Termineinlagen,Termineinlagen,,0.1
2022-04-01,Einlagen,Termineinlagen,Termineinlagen,,-4.8
2022-07-01,Einlagen,Termineinlagen,Termineinlagen,,5.7
