date,ebene1,ebene2,ebene3,bestand,fluss
2011-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,261.7,
2012-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,258.5,
2012-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,267.6,
2012-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,285.4,
2012-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,312.9,
2013-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,291.9,
2013-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,297.3,
2013-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,317.2,
2013-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,326.9,
2014-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,313.0,
2014-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,314.1,
2014-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,334.2,
2014-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,338.4,
2015-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,333.9,
2015-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,339.5,
2015-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,356.2,
2015-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,373.8,
2016-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,367.7,
2016-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,374.3,
2016-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,387.5,
2016-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,400.0,
2017-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,394.2,
2017-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,414.0,
2017-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,411.6,
2017-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,426.0,
2018-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,416.2,
2018-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,421.9,
2018-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,430.6,
2018-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,439.5,
2019-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,440.7,
2019-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,443.7,
2019-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,466.6,
2019-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,482.8,
2020-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,479.0,
2020-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,507.9,
2020-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,532.7,
2020-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,549.6,
2021-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,573.1,
2021-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,570.9,
2021-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,593.6,
2021-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,592.6,
2022-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,606.2,
2022-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,599.8,
2022-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,609.7,
2022-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,602.2,
2023-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,564.1,
2023-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,542.6,
2023-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,541.5,
2023-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,549.7,
2024-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,516.4,
2024-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,518.5,
2024-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,542.7,
2024-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,574.3,
2000-01-01,Einlagen,Termineinlagen,Termineinlagen,125.2,
2000-04-01,Einlagen,Termineinlagen,Termineinlagen,123.0,
2000-07-01,Einlagen,Termineinlagen,Termineinlagen,123.8,
2000-10-01,Einlagen,Termineinlagen,Termineinlagen,114.6,
2001-01-01,Einlagen,Termineinlagen,Termineinlagen,125.1,
2001-04-01,Einlagen,Termineinlagen,Termineinlagen,118.5,
2001-07-01,Einlagen,Termineinlagen,Termineinlagen,119.4,
2001-10-01,Einlagen,Termineinlagen,Termineinlagen,120.7,
2002-01-01,Einlagen,Termineinlagen,Termineinlagen,116.0,
2002-04-01,Einlagen,Termineinlagen,Termineinlagen,119.7,
2002-07-01,Einlagen,Termineinlagen,Termineinlagen,123.7,
2002-10-01,Einlagen,Termineinlagen,Termineinlagen,124.2,
2003-01-01,Einlagen,Termineinlagen,Termineinlagen,124.3,
2003-04-01,Einlagen,Termineinlagen,Termineinlagen,125.6,
2003-07-01,Einlagen,Termineinlagen,Termineinlagen,125.2,
2003-10-01,Einlagen,Termineinlagen,Termineinlagen,119.9,
2004-01-01,Einlagen,Termineinlagen,Termineinlagen,116.4,
2004-04-01,Einlagen,Termineinlagen,Termineinlagen,116.5,
2004-07-01,Einlagen,Termineinlagen,Termineinlagen,116.4,
2004-10-01,Einlagen,Termineinlagen,Termineinlagen,126.1,
2005-01-01,Einlagen,Termineinlagen,Termineinlagen,122.7,
2005-04-01,Einlagen,Termineinlagen,Termineinlagen,124.0,
2005-07-01,Einlagen,Termineinlagen,Termineinlagen,132.3,
2005-10-01,Einlagen,Termineinlagen,Termineinlagen,130.1,
2006-01-01,Einlagen,Termineinlagen,Termineinlagen,132.7,
2006-04-01,Einlagen,Termineinlagen,Termineinlagen,136.0,
2006-07-01,Einlagen,Termineinlagen,Termineinlagen,138.1,
2006-10-01,Einlagen,Termineinlagen,Termineinlagen,137.2,
2007-01-01,Einlagen,Termineinlagen,Termineinlagen,141.6,
2007-04-01,Einlagen,Termineinlagen,Termineinlagen,137.0,
2007-07-01,Einlagen,Termineinlagen,Termineinlagen,152.9,
2007-10-01,Einlagen,Termineinlagen,Termineinlagen,161.0,
2008-01-01,Einlagen,Termineinlagen,Termineinlagen,147.5,
2008-04-01,Einlagen,Termineinlagen,Termineinlagen,153.5,
2008-07-01,Einlagen,Termineinlagen,Termineinlagen,157.9,
2008-10-01,Einlagen,Termineinlagen,Termineinlagen,153.6,
2009-01-01,Einlagen,Termineinlagen,Termineinlagen,144.0,
2009-04-01,Einlagen,Termineinlagen,Termineinlagen,137.0,
2009-07-01,Einlagen,Termineinlagen,Termineinlagen,138.8,
2009-10-01,Einlagen,Termineinlagen,Termineinlagen,125.7,
2010-01-01,Einlagen,Termineinlagen,Termineinlagen,125.5,
2010-04-01,Einlagen,Termineinlagen,Termineinlagen,110.0,
2010-07-01,Einlagen,Termineinlagen,Termineinlagen,121.3,
2010-10-01,Einlagen,Termineinlagen,Termineinlagen,124.5,
2011-01-01,Einlagen,Termineinlagen,Termineinlagen,114.4,
2011-04-01,Einlagen,Termineinlagen,Termineinlagen,101.9,
2011-07-01,Einlagen,Termineinlagen,Termineinlagen,85.7,
2011-10-01,Einlagen,Termineinlagen,Termineinlagen,97.0,
2012-01-01,Einlagen,Termineinlagen,Termineinlagen,93.8,
2012-04-01,Einlagen,Termineinlagen,Termineinlagen,80.1,
2012-07-01,Einlagen,Termineinlagen,Termineinlagen,74.6,
2012-10-01,Einlagen,Termineinlagen,Termineinlagen,77.8,
2013-01-01,Einlagen,Termineinlagen,Termineinlagen,163.5,
2013-04-01,Einlagen,Termineinlagen,Termineinlagen,155.8,
2013-07-01,Einlagen,Termineinlagen,Termineinlagen,168.1,
2013-10-01,Einlagen,Termineinlagen,Termineinlagen,168.5,
2014-01-01,Einlagen,Termineinlagen,Termineinlagen,180.0,
2014-04-01,Einlagen,Termineinlagen,Termineinlagen,168.3,
2014-07-01,Einlagen,Termineinlagen,Termineinlagen,171.8,
2014-10-01,Einlagen,Termineinlagen,Termineinlagen,154.7,
2015-01-01,Einlagen,Termineinlagen,Termineinlagen,157.9,
2015-04-01,Einlagen,Termineinlagen,Termineinlagen,152.9,
2015-07-01,Einlagen,Termineinlagen,Termineinlagen,155.5,
2015-10-01,Einlagen,Termineinlagen,Termineinlagen,154.3,
2016-01-01,Einlagen,Termineinlagen,Termineinlagen,170.2,
2016-04-01,Einlagen,Termineinlagen,Termineinlagen,164.4,
2016-07-01,Einlagen,Termineinlagen,Termineinlagen,173.6,
2016-10-01,Einlagen,Termineinlagen,Termineinlagen,160.7,
2017-01-01,Einlagen,Termineinlagen,Termineinlagen,166.3,
2017-04-01,Einlagen,Termineinlagen,Termineinlagen,153.5,
2017-07-01,Einlagen,Termineinlagen,Termineinlagen,159.8,
2017-10-01,Einlagen,Termineinlagen,Termineinlagen,161.9,
2018-01-01,Einlagen,Termineinlagen,Termineinlagen,161.6,
2018-04-01,Einlagen,Termineinlagen,Termineinlagen,158.3,
2018-07-01,Einlagen,Termineinlagen,Termineinlagen,160.0,
2018-10-01,Einlagen,Termineinlagen,Termineinlagen,173.4,
2019-01-01,Einlagen,Termineinlagen,Termineinlagen,162.6,
2019-04-01,Einlagen,Termineinlagen,Termineinlagen,142.7,
2019-07-01,Einlagen,Termineinlagen,Termineinlagen,153.0,
2019-10-01,Einlagen,Termineinlagen,Termineinlagen,147.7,
2020-01-01,Einlagen,Termineinlagen,Termineinlagen,153.9,
2020-04-01,Einlagen,Termineinlagen,Termineinlagen,172.4,
2020-07-01,Einlagen,Termineinlagen,Termineinlagen,193.3,
2020-10-01,Einlagen,Termineinlagen,Termineinlagen,179.1,
2021-01-01,Einlagen,Termineinlagen,Termineinlagen,172.4,
2021-04-01,Einlagen,Termineinlagen,Termineinlagen,158.0,
2021-07-01,Einlagen,Termineinlagen,Termineinlagen,155.8,
2021-10-01,Einlagen,Termineinlagen,Termineinlagen,178.5,
2022-01-01,Einlagen,Termineinlagen,Termineinlagen,182.1,
2022-04-01,Einlagen,Termineinlagen,Termineinlagen,161.4,
2022-07-01,Einlagen,Termineinlagen,Termineinlagen,206.1,
2022-10-01,Einlagen,Termineinlagen,Termineinlagen,234.8,
2023-01-01,Einlagen,Termineinlagen,Termineinlagen,249.5,
2023-04-01,Einlagen,Termineinlagen,Termineinlagen,254.9,
2023-07-01,Einlagen,Termineinlagen,Termineinlagen,279.2,
2023-10-01,Einlagen,Termineinlagen,Termineinlagen,280.8,
2024-01-01,Einlagen,Termineinlagen,Termineinlagen,297.7,
2024-04-01,Einlagen,Termineinlagen,Termineinlagen,285.0,
2024-07-01,Einlagen,Termineinlagen,Termineinlagen,294.6,
2024-10-01,Einlagen,Termineinlagen,Termineinlagen,295.7,
2000-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.4,
2000-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.3,
2000-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.2,
2000-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.1,
2001-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.0,
2001-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.9,
2001-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.7,
2001-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.5,
2002-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.5,
2002-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.6,
2002-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.6,
2002-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.5,
2003-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.6,
2003-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.2,
2003-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.4,
2003-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.3,
2004-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.6,
2004-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.6,
2004-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.8,
2004-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.7,
2005-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.8,
2005-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.5,
2005-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.8,
2005-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.5,
2006-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.5,
2006-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.4,
2006-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.3,
2006-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.1,
2007-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.1,
2007-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.0,
2007-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.8,
2007-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.7,
2008-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.6,
2008-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.6,
2008-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.6,
2008-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,3.6,
2009-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.0,
2009-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.4,
2009-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,4.9,
2009-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,5.1,
2010-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,5.8,
2010-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,6.1,
2010-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,6.2,
2010-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,6.0,
2011-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,6.0,
2011-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,6.0,
2011-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,5.9,
2011-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,5.2,
2012-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,5.5,
2012-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,5.8,
2012-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,6.3,
2012-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,6.2,
2013-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,6.5,
2013-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,6.9,
2013-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,7.2,
2013-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,6.9,
2014-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,7.2,
