date,ebene1,ebene2,ebene3,bestand,fluss
2001-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.0
2001-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.2
2001-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.2
2002-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.0
2002-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.0
2002-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.0
2002-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
2003-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.1
2003-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.3
2003-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.1
2003-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.0
2004-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.3
2004-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.0
2004-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.1
2004-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
2005-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.2
2005-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
2005-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.2
2005-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.3
2006-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.0
2006-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
2006-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
2006-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.2
2007-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.0
2007-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
2007-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.2
2007-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.2
2008-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.0
2008-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.0
2008-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.0
2008-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
2009-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.5
2009-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.4
2009-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.5
2009-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.3
2010-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.7
2010-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.3
2010-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.1
2010-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.2
2011-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.1
2011-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.0
2011-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
2011-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.3
2012-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.2
2012-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.4
2012-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.4
2012-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.0
2013-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.3
