GKZ,name,fl_suv,indicator_code,indicator_name,indicator_desc
05966000,Olpe,15.3,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05970000,Siegen-Wittgenstein,16.9,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05974000,Soest,15.76,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05978000,Unna,31.83,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06411000,"Darmstadt, Wissenschaftsstadt",35.23,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06412000,"Frankfurt am Main, Stadt",58.7,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06413000,"Offenbach am Main, Stadt",49.15,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06414000,"Wiesbaden, Landeshauptstadt",39.68,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06431000,Bergstraße,16.84,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06432000,Darmstadt-Dieburg,19.24,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06433000,Groß-Gerau,24.1,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06434000,Hochtaunuskreis,20.04,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06435000,Main-Kinzig-Kreis,16.11,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06436000,Main-Taunus-Kreis,32.77,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06437000,Odenwaldkreis,10.94,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06438000,Offenbach,29.64,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06439000,Rheingau-Taunus-Kreis,13.54,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06440000,Wetteraukreis,15.94,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06531000,Gießen,18.13,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
06532000,Lahn-Dill-Kreis,16.53,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
