GKZ,Kreisname,Deutschlandatlas_KRS1222__fl_suv,Deutschlandatlas_KRS1222__fl_landw,Deutschlandatlas_KRS1222__fl_wald,Deutschlandatlas_KRS1222__bev_binw,Deutschlandatlas_KRS1222__bev_ausw,Deutschlandatlas_KRS1222__ko_kasskred,Deutschlandatlas_KRS1222__bev_u18,Deutschlandatlas_KRS1222__bev_18_65,Deutschlandatlas_KRS1222__bev_ue65,Deutschlandatlas_KRS1222__bev_ausl,Deutschlandatlas_KRS1222__mitgl_sportv,Deutschlandatlas_KRS1222__ew_sportv,Deutschlandatlas_KRS1222__wahl_beteil,Deutschlandatlas_KRS1222__preis_miet,Deutschlandatlas_KRS1222__wohn_eigen,Deutschlandatlas_KRS1222__wohn_leer,Deutschlandatlas_KRS1222__wohn_EZFH,Deutschlandatlas_KRS1222__wohn_MFH,Deutschlandatlas_KRS1222__heiz_wohn_best,Deutschlandatlas_KRS1222__heiz_wohn,Deutschlandatlas_KRS1222__bquali_unifh,Deutschlandatlas_KRS1222__bquali_mabschl,Deutschlandatlas_KRS1222__bquali_oabschl,Deutschlandatlas_KRS1222__erw_wachs,Deutschlandatlas_KRS1222__erw_vol,Deutschlandatlas_KRS1222__erw_mini,Deutschlandatlas_KRS1222__erw_minineben,Deutschlandatlas_KRS1222__teilz_insg,Deutschlandatlas_KRS1222__teilz_w,Deutschlandatlas_KRS1222__teilz_m,Deutschlandatlas_KRS1222__erw_bip,Deutschlandatlas_KRS1222__alq,Deutschlandatlas_KRS1222__hh_veink,Deutschlandatlas_KRS1222__elterng_v,Deutschlandatlas_KRS1222__schulden,Deutschlandatlas_KRS1222__grusi_insg,Deutschlandatlas_KRS1222__grusi_w,Deutschlandatlas_KRS1222__grusi_m,Deutschlandatlas_KRS1222__sozsich,Deutschlandatlas_KRS1222__auto,Deutschlandatlas_KRS1222__elade,Deutschlandatlas_KRS1222__eauto,Deutschlandatlas_KRS1222__v_harzt,Deutschlandatlas_KRS1222__v_karzt,Deutschlandatlas_KRS1222__schule_oabschl,Deutschlandatlas_KRS1222__kbetr_u3,Deutschlandatlas_KRS1222__kbetr_ue3,Deutschlandatlas_KRS1222__kbetr_ue6,Deutschlandatlas_KRS1222__kbtr_pers,Deutschlandatlas_KRS1222__kinder_bg,Deutschlandatlas_KRS1222__straft,Deutschlandatlas_KRS1222__einbr,Deutschlandatlas_KRS1221__preis_baul,Deutschlandatlas_KRS1221__pfl_ambu,Deutschlandatlas_KRS1221__pfl_stat,Deutschlandatlas_KRS1221__pfl_geld
05762000,Höxter,11.34,57.34,29.96,72.28,98.93,327,17.1,59.12,23.78,8.3,37.9,191.09,84.1,"5,50 bis unter 7,00",60.16704655944658,4.9,17.6,4.2,9.70600316882812,69.35,9.57,69.44,14.12,0.19,5.4,11.91,7.22,33.9,58.8,10.4,69.95,4.34,26.15,44.3,7.02,2.5,2.6,2.3,6.94,649.8,172.61,3.34,60.300000000000004,32.5,6.53,26.32,84.92,7.86,6.14,9.87,4777.921153018989,34.551082718112525,bis unter 50,25.7,13.4,48.9
05766000,Lippe,17.51,48.93,31.39,12.38,158.88,292,18.51,58.38,23.11,10.64,31.13,114.66,82.4,"7,00 bis unter 8,50",51.53268321659282,4.93,9.7,7.199999999999999,5.592788397926722,59.16,14.01,63.61,14.37,0.4,3.8,9.92,6.43,31.3,54.9,11.3,73.47,5.19,25.0,47.0,8.14,3.6,3.6,3.5,8.96,633.2,100.97,3.47,51.5,39.900000000000006,5.92,27.69,83.92,7.85,5.96,13.41,4325.304916312024,62.181249786073685,100 bis unter 200,23.1,16.6,46.6
05770000,Minden-Lübbecke,20.95,62.36,12.46,32.91,161.5,34,18.14,59.4,22.46,10.71,35.14,144.95,81.6,"7,00 bis unter 8,50",54.01252374586646,3.96,13.600000000000001,13.799999999999999,6.9337370288366635,77.37,12.72,65.31,14.65,0.72,5.4,9.08,6.47,29.9,52.9,9.8,86.1,5.85,25.39,43.9,8.52,3.7,4.0,3.4,9.72,661.6,125.57,3.66,58.5,39.0,8.49,27.07,82.72,7.81,6.54,15.0,4860.84298075158,69.30950014874641,50 bis unter 100,21.2,16.3,48.8
05774000,Paderborn,16.05,51.77,29.43,-17.21,169.21,138,17.98,62.67,19.35,11.25,33.86,99.76,83.1,"7,00 bis unter 8,50",46.430454126925,3.3,14.9,20.9,9.824561403508772,70.04,16.46,60.28,14.39,0.91,4.1,11.7,7.86,31.6,55.0,13.0,74.69,5.38,24.91,46.6,7.38,4.2,4.5,3.9,8.23,604.4,204.05,4.39,53.2,43.099999999999994,5.25,32.55,93.71,8.67,5.89,11.66,6097.6931265497615,70.11773404980909,500 und mehr,24.9,14.1,48.9
05911000,"Bochum, Stadt",70.25,15.69,12.3,-0.11,115.63,825,15.2,62.23,22.57,15.37,25.49,99.25,81.3,"7,00 bis unter 8,50",27.642328414523014,3.62,2.3000000000000003,7.3,1.8195813899312783,39.2,20.1,54.78,15.54,0.78,6.3,10.64,5.96,32.5,49.4,17.9,78.7,8.65,22.95,39.0,10.97,5.4,5.3,5.5,13.16,591.7,159.93,3.25,58.7,57.9,8.39,32.01,88.04,9.34,6.21,23.16,8753.985049570461,211.62458782420396,300 bis unter 500,18.0,13.7,52.4
05913000,"Dortmund, Stadt",60.08,23.18,14.42,-20.49,163.76,1717,17.18,62.3,20.52,20.75,46.62,76.86,80.1,"8,50 bis unter 10,00",26.534151329243354,3.33,3.8,29.3,2.2049896949905423,31.42,19.68,54.17,16.12,0.94,9.1,9.56,6.3,30.3,47.2,15.9,78.65,11.46,21.58,36.2,12.15,7.8,7.8,7.8,17.34,503.9,149.33,3.33,54.699999999999996,44.900000000000006,8.44,31.52,88.63,7.81,5.83,28.98,11838.696683223303,210.34286898909014,300 bis unter 500,23.6,14.0,47.9
05914000,"Hagen, Stadt der FernUniversität",35.61,16.07,44.68,-24.08,125.78,3860,18.37,59.68,21.95,22.46,18.32,98.53,76.8,"5,50 bis unter 7,00",27.961285360225624,5.94,1.7000000000000002,4.699999999999999,2.7868187529060275,29.51,13.69,60.26,17.65,-0.35,-2.0,9.84,6.58,29.6,49.8,12.8,77.32,11.38,21.41,28.4,14.98,5.7,5.6,5.7,16.38,527.2,90.75,2.32,59.3,42.800000000000004,6.71,21.06,81.58,7.61,6.79,27.36,9499.270219145024,173.8828029907842,200 bis unter 300,18.7,14.3,53.7
05915000,"Hamm, Stadt",33.44,52.06,11.04,21.01,110.81,442,17.78,60.99,21.23,18.01,21.41,73.54,79.1,"7,00 bis unter 8,50",38.870451723808614,2.95,8.4,12.3,2.95356228987137,45.99,11.47,60.37,16.49,0.68,6.2,11.21,6.33,32.0,53.4,12.1,69.38,8.55,21.3,37.1,12.35,4.4,4.5,4.3,11.5,557.0,120.41,2.78,48.0,48.9,6.34,29.2,89.48,9.24,5.81,13.46,10424.718964439948,163.67245602685114,200 bis unter 300,24.2,14.9,46.5
05916000,"Herne, Stadt",74.13,8.17,14.41,60.75,40.1,2231,17.3,60.94,21.76,20.43,17.86,106.76,76.1,"5,50 bis unter 7,00",27.16163840280192,4.49,3.5,7.1,1.4459203955980027,58.44,12.28,58.63,17.19,0.41,7.2,9.89,4.82,32.3,48.5,17.4,69.79,11.02,20.46,29.3,15.63,5.2,5.2,5.2,16.71,503.3,87.73,1.9,55.099999999999994,44.900000000000006,12.27,23.44,76.7,7.57,5.71,27.79,9224.23872706014,217.96044939250675,300 bis unter 500,19.7,14.3,51.5
05954000,Ennepe-Ruhr-Kreis,29.27,37.67,30.88,48.09,109.9,1681,16.11,59.55,24.34,12.38,27.15,119.93,83.1,"7,00 bis unter 8,50",37.34462066009429,3.88,5.699999999999999,10.3,3.6056398028554018,73.43,13.72,61.89,15.91,0.47,2.5,10.8,7.0,29.7,52.3,11.6,72.0,6.95,27.87,42.0,9.41,3.7,3.9,3.5,10.24,624.7,93.63,3.05,56.6,44.400000000000006,5.65,30.94,89.63,8.44,6.06,16.17,5783.334819630189,153.7548471215555,200 bis unter 300,19.9,15.5,51.4
