GKZ,Gemeindename,Deutschlandatlas_GEM1223__st_einnkr,Deutschlandatlas_GEM1223__v_breitb50,Deutschlandatlas_GEM1223__v_breitb1000,Deutschlandatlas_GEM1222__bev_dicht,Deutschlandatlas_GEM1222__bev_entw,Deutschlandatlas_GEM1222__beschq_insg,Deutschlandatlas_GEM1222__beschq_w,Deutschlandatlas_GEM1222__beschq_m,Deutschlandatlas_GEM1222__v_gsm,Deutschlandatlas_GEM1222__v_lte,Deutschlandatlas_GEM1222__v_5g,Deutschlandatlas_GEM1222__p_markt,Deutschlandatlas_GEM1222__p_hbad,Deutschlandatlas_GEM1222__p_freibad,Deutschlandatlas_GEM1222__p_notfall,Deutschlandatlas_GEM1222__p_grunds,Deutschlandatlas_GEM1222__p_sek_1,Deutschlandatlas_GEM1222__p_sek_2,Deutschlandatlas_GEM1221__p_nelade,Deutschlandatlas_GEM1221__p_selade,Deutschlandatlas_GEM1221__p_harzt,Deutschlandatlas_GEM1220__p_apo,Deutschlandatlas_GEM1218__luftrtng,Deutschlandatlas_GEM1218__p_poli
08425137,Illerkirchberg,1107.0,90.95,86.77,435.72,0.95,71.33,67.44,75.05,100.0,100.0,100.0,2.6,7.37,7.61,14.1449206,4.4,6.79,8.56,4.5,5.73,2.0,2.97,3.03,4.79
08425138,Staig,1448.0,89.9,80.16,185.3,0.79,74.2,68.45,79.96,100.0,100.0,99.8,2.7,10.13,10.14,13.8646552,2.66,3.09,10.83,1.59,2.3,2.4,2.48,3.53,7.27
08425139,Heroldstatt,1581.0,86.71,2.97,129.67,0.43,75.07,71.76,78.33,100.0,98.9,95.6,3.86,9.6,15.7,22.3327273,3.78,9.49,9.93,2.6,8.71,2.6,2.91,5.32,8.4
08425140,Balzheim,1195.0,90.78,3.35,121.86,0.93,75.73,65.45,85.25,100.0,81.4,64.3,5.04,9.07,8.49,10.38475,2.84,7.94,20.47,2.46,7.38,2.6,5.81,7.46,8.35
08425141,"Blaustein, Stadt",1442.0,96.61,61.77,299.71,0.88,67.0,63.01,70.66,100.0,99.2,98.6,4.7,7.25,14.005,12.4287097,2.81,11.29,12.46,4.76,9.09,3.6,4.56,1.69,8.15
08426001,Achstetten,2184.0,94.48,93.87,218.99,1.52,74.31,68.47,79.93,100.0,100.0,100.0,2.84,5.7,8.3,6.30416667,2.82,7.45,8.12,3.19,8.41,2.9,5.26,4.56,6.65
08426005,Alleshausen,1164.0,86.15,0.0,48.8,1.52,72.01,65.09,78.74,100.0,100.0,99.5,5.9,1.57,6.25,13.4825,1.56,11.06,15.53,4.95,12.4,6.1,6.0,10.78,7.97
08426006,Allmannsweiler,1171.0,93.65,0.0,81.71,2.11,73.15,65.31,79.66,100.0,96.6,97.6,4.98,6.71,6.925,12.8411111,4.59,5.89,11.9,6.62,7.51,6.0,6.24,10.4,4.96
08426008,Altheim,1771.0,95.42,56.65,88.54,-0.32,71.67,67.26,76.05,100.0,98.4,97.2,3.62,6.81,16.76,8.3026087,3.5,6.61,6.88,7.29,5.55,4.4,7.79,12.33,12.26
08426011,Attenweiler,1020.0,84.67,1.87,72.39,0.62,73.73,67.73,79.26,100.0,99.9,99.8,6.11,8.49,8.76,10.6427536,3.3,10.85,13.6,6.79,5.84,5.8,8.04,9.09,11.47
08426013,"Bad Buchau, Stadt",1090.0,96.24,90.61,195.2,2.1,69.75,64.29,74.57,100.0,97.0,97.2,2.03,3.23,2.54,16.251087,2.81,2.43,15.79,3.16,12.34,2.1,3.17,11.17,3.89
08426014,"Bad Schussenried, Stadt",1179.0,93.04,42.25,165.75,1.04,71.5,66.41,76.33,100.0,99.8,99.5,3.54,8.17,5.935,14.3564103,5.05,4.95,8.71,4.06,11.22,4.0,4.12,10.29,4.64
08426019,Berkheim,1352.0,95.41,2.3,125.7,2.12,75.48,69.69,80.79,100.0,99.9,98.2,6.07,10.77,10.945,14.3774194,3.62,8.96,13.24,2.8,9.39,2.7,7.23,10.56,11.39
08426020,Betzenweiler,2485.0,89.61,2.27,80.17,0.45,72.12,62.4,81.42,100.0,100.0,99.6,5.03,6.52,5.25,11.474,4.3,9.97,12.04,7.91,11.76,3.9,4.27,10.91,7.59
08426021,"Biberach an der Riß, Stadt",5031.0,97.49,87.98,471.35,0.74,72.18,66.21,78.0,100.0,98.9,89.2,3.12,6.28,5.32,7.69749226,2.89,5.68,6.01,3.05,5.78,3.0,4.06,9.81,7.15
08426028,Burgrieden,1284.0,96.02,33.22,194.65,1.27,72.6,67.9,77.17,100.0,97.0,92.2,2.63,3.0,6.785,7.6842623,2.11,7.66,7.81,6.08,9.0,2.7,6.15,5.4,9.93
08426031,Dettingen an der Iller,1668.0,90.81,8.39,243.99,2.47,76.04,68.3,83.33,100.0,100.0,98.1,3.16,10.16,8.145,14.9554902,3.08,6.98,17.72,6.21,2.91,1.8,5.99,9.31,12.85
08426035,Dürmentingen,2280.0,93.08,90.87,111.32,0.64,71.91,71.32,72.41,100.0,100.0,87.4,5.64,7.73,8.6,8.37982456,2.71,7.05,8.95,5.47,8.7,2.3,2.94,11.44,6.46
08426036,Dürnau,822.0,94.41,5.59,63.6,1.53,72.36,74.19,70.86,100.0,91.1,78.6,4.07,6.75,6.875,11.4727273,5.93,5.93,11.18,7.04,8.79,6.1,6.74,11.01,5.79
08426038,Eberhardzell,2669.0,80.05,2.22,76.99,0.51,76.26,71.02,81.0,100.0,99.0,83.0,4.14,5.06,10.74,12.7309459,4.95,11.51,13.64,3.97,7.05,5.0,5.25,11.35,11.57
08426043,Erlenmoos,1341.0,93.81,4.13,75.43,0.7,74.18,67.08,81.16,100.0,96.4,79.8,5.17,12.15,5.755,20.3818367,3.15,8.6,4.79,5.54,4.47,4.5,4.64,10.39,8.83
08426044,Erolzheim,1756.0,91.46,2.24,129.47,0.49,72.95,65.45,80.11,100.0,100.0,99.6,4.0,4.67,9.7,19.1445,2.68,7.55,11.64,4.07,8.13,2.6,2.81,9.52,10.73
08426045,Ertingen,1313.0,95.51,95.38,144.25,0.15,73.66,67.92,78.92,100.0,94.7,83.7,3.57,10.59,12.08,11.3387234,4.1,4.26,10.87,9.59,8.29,2.0,3.47,11.84,9.92
08426058,Hochdorf,1707.0,89.88,37.32,100.76,0.43,74.55,70.64,78.34,100.0,100.0,96.3,4.49,7.94,8.13,13.3181081,4.0,9.62,12.7,7.45,6.2,3.4,7.55,11.26,10.26
08426062,Ingoldingen,1277.0,76.77,31.87,71.49,1.61,72.79,67.93,77.45,100.0,99.8,98.9,5.4,10.66,10.23,13.2188235,5.89,10.64,12.98,8.39,7.17,5.3,8.6,10.93,8.52
08426064,Kanzach,1491.0,92.96,5.03,44.39,0.04,78.96,74.84,83.33,100.0,100.0,90.2,4.76,7.05,7.205,13.0069565,5.16,6.6,13.23,7.57,11.27,5.1,5.45,11.55,5.3
